#,Trial,PF,E(R),Trades,T/dia,Entry%,TP1%,TP2%,TP3%,Sinais,stop_buf,max_stop,expiry,session,htf_tp3,breakeven,trailing,cooldown,market_fb,setup_tf
0,TRIAL_0000,1.19,0.074,870,1.9,26.6,88.5,43.1,38.0,3272,0.15,3.0,12,False,True,False,False,2,True,M5
0,TRIAL_0002,11.45,0.894,152,0.3,7.3,88.9,46.9,46.9,2075,0.25,2.0,9,False,True,True,True,1,True,M2
0,TRIAL_0003,0.8,-0.091,196,0.4,18.5,88.9,20.3,19.3,1060,0.1,3.0,6,True,False,False,False,8,True,M2
0,TRIAL_0004,1.71,0.199,149,0.3,10.3,88.9,38.0,35.4,1440,0.25,2.0,12,False,False,False,False,8,False,M5
0,TRIAL_0007,1.89,0.215,100,0.2,8.3,88.9,19.8,18.2,1207,0.2,2.0,12,True,False,False,True,1,False,M5
0,TRIAL_0006,13.86,0.96,113,0.2,8.0,88.9,49.4,49.4,1413,0.25,2.0,9,False,True,True,True,5,True,M2
0,TRIAL_0008,1.55,0.164,313,0.7,11.8,88.7,41.5,36.3,2642,0.1,2.5,12,False,False,False,False,3,False,M5
0,TRIAL_0011,4.62,0.532,58,0.1,5.9,88.9,46.0,44.4,982,0.1,2.0,9,True,True,True,False,5,True,M5
0,TRIAL_0010,2.49,0.328,97,0.2,4.9,88.9,13.5,11.5,1998,0.15,2.5,6,False,False,True,False,5,False,M2
0,TRIAL_0015,5.08,0.635,156,0.3,8.9,88.9,55.2,53.5,1757,0.15,2.0,12,False,False,True,True,5,True,M5
0,TRIAL_0012,0.79,-0.094,250,0.5,14.9,88.9,10.2,10.2,1673,0.1,3.0,9,True,True,False,True,3,True,M2
0,TRIAL_0014,3.44,0.359,55,0.1,5.2,88.9,15.8,15.8,1060,0.1,3.0,9,True,False,True,True,8,True,M2
0,TRIAL_0019,1.66,0.224,103,0.2,6.7,88.9,41.8,37.3,1534,0.2,3.0,12,True,False,True,False,5,False,M5
0,TRIAL_0016,4.35,0.485,73,0.2,6.3,88.9,39.9,39.9,1154,0.15,2.0,12,True,False,True,True,2,True,M5
0,TRIAL_0018,2.12,0.33,243,0.5,8.0,88.6,43.9,37.8,3028,0.1,2.5,12,False,False,True,False,1,False,M5
0,TRIAL_0023,1.01,-0.006,276,0.6,22.1,88.9,42.2,38.5,1247,0.15,3.0,12,True,True,False,False,8,True,M5
0,TRIAL_0020,1.72,0.223,103,0.2,5.3,88.9,30.7,27.6,1958,0.25,3.0,6,True,False,True,True,2,False,M5
0,TRIAL_0022,3.48,0.37,68,0.1,5.0,88.9,17.9,17.9,1352,0.1,3.0,6,True,False,True,True,5,True,M2
0,TRIAL_0027,0.9,-0.049,294,0.6,16.2,88.9,22.8,20.8,1818,0.2,3.0,9,True,False,False,True,3,True,M5
0,TRIAL_0024,1.01,-0.005,256,0.6,8.4,88.9,9.2,8.6,3039,0.15,3.0,12,False,True,False,True,3,False,M2
0,TRIAL_0026,2.55,0.355,65,0.1,5.5,88.9,14.2,14.2,1172,0.25,2.0,12,False,True,True,False,8,False,M2
0,TRIAL_0031,1.38,0.159,495,1.1,18.8,88.9,17.5,17.1,2632,0.25,2.5,9,False,True,False,True,2,True,M2
0,TRIAL_0028,1.64,0.173,133,0.3,10.2,88.9,40.1,37.9,1308,0.15,2.5,9,True,False,False,False,5,False,M5
0,TRIAL_0032,2.3,0.295,126,0.3,10.7,88.9,40.5,38.4,1182,0.25,2.0,9,True,True,False,False,1,False,M5
0,TRIAL_0030,5.32,0.434,48,0.1,4.6,88.9,18.9,18.9,1040,0.2,2.5,12,True,False,True,True,5,True,M2
0,TRIAL_0035,0.74,-0.114,282,0.6,14.7,88.9,10.8,10.8,1912,0.1,3.0,9,True,False,False,True,2,True,M2
0,TRIAL_0034,1.53,0.155,253,0.5,11.0,88.6,40.2,35.6,2290,0.1,2.5,12,False,True,False,False,5,False,M5
0,TRIAL_0039,2.25,0.35,73,0.2,5.6,88.9,49.5,46.9,1308,0.15,2.5,6,True,True,True,False,5,False,M5
0,TRIAL_0036,1.63,0.261,425,0.9,18.6,88.9,21.0,21.0,2279,0.1,2.0,6,False,True,False,True,1,True,M2
0,TRIAL_0043,2.13,0.325,232,0.5,7.9,88.5,45.0,38.8,2939,0.2,2.5,9,False,True,True,False,1,False,M5
0,TRIAL_0038,1.29,0.121,568,1.2,18.3,88.9,18.5,17.8,3105,0.15,2.5,12,False,True,False,True,1,True,M2
0,TRIAL_0040,1.4,0.124,223,0.5,11.3,88.9,40.7,34.7,1977,0.2,3.0,9,True,True,False,False,2,False,M5
0,TRIAL_0047,0.87,-0.061,321,0.7,16.4,88.9,23.3,21.0,1958,0.25,3.0,6,True,True,False,True,2,True,M5
0,TRIAL_0042,5.35,0.64,174,0.4,9.1,88.9,53.6,51.9,1903,0.25,2.0,6,False,False,True,True,3,True,M5
0,TRIAL_0044,2.75,0.348,87,0.2,6.6,88.9,40.9,40.9,1324,0.1,2.5,12,True,False,True,True,5,True,M5
0,TRIAL_0051,3.29,0.343,97,0.2,5.2,88.9,18.2,18.2,1883,0.15,3.0,9,True,True,True,True,2,True,M2
0,TRIAL_0046,2.34,0.295,69,0.1,4.5,88.9,5.9,5.9,1550,0.2,2.5,9,False,True,True,True,8,False,M2
0,TRIAL_0048,1.35,0.145,510,1.1,18.4,88.9,18.8,18.2,2779,0.1,2.5,9,False,True,False,True,2,True,M2
0,TRIAL_0055,2.67,0.343,76,0.2,4.1,88.9,8.4,8.4,1855,0.25,2.0,6,False,False,True,True,2,False,M2
0,TRIAL_0050,2.89,0.372,54,0.1,4.3,88.9,7.9,7.9,1265,0.1,2.0,9,False,False,True,True,8,False,M2
0,TRIAL_0052,1.12,0.027,289,0.6,9.5,88.9,18.1,16.7,3039,0.15,3.0,12,False,True,False,False,3,False,M2
0,TRIAL_0059,1.7,0.269,286,0.6,19.2,88.9,32.7,32.1,1487,0.15,2.0,12,False,False,False,True,8,True,M5
0,TRIAL_0054,1.24,0.095,816,1.8,26.9,88.5,43.4,38.6,3035,0.15,3.0,12,False,True,False,False,3,True,M5
0,TRIAL_0056,1.09,0.013,127,0.3,7.7,88.9,10.2,10.2,1655,0.15,3.0,6,True,True,False,True,3,False,M2
0,TRIAL_0063,1.21,0.078,167,0.4,15.9,88.9,20.5,20.1,1049,0.2,2.0,6,True,True,False,True,3,True,M5
0,TRIAL_0058,1.83,0.25,166,0.4,5.8,88.4,29.0,24.6,2841,0.1,2.5,12,False,True,True,True,2,False,M5
